,Repository,Title,Body,Link
33,2019.1-ADA,"US36 - Eu, como usuário, desejo que a Ada me informe quando uma issue for criada.","## Descrição da Issue
Eu, como usuário, desejo que a Ada me informe quando uma issue for criada no repositório cadastrado.

### Tasks: 

- [x] Elaborar fluxo de conversa
- [x] Tratar json recebido de acordo com o evento disparado.

### Critérios de aceitação

- [x] Testes feitos
- [x] Mensagens validadas
- [x] Notificação funcionando",https://github.com/fga-eps-mds/2019.1-ADA/issues/247
34,2019.1-ADA,"US33 - Eu, como usuário, desejo que a Ada me informe quando um comentário de issue for feito.","## Descrição da Issue
Eu, como usuário, desejo que a Ada me informe quando um comentário de issue for feito no repositório cadastrado.

### Tasks: 

- [x] Elaborar fluxo de conversa
- [x] Tratar json recebido de acordo com o evento disparado.

### Critérios de aceitação

- [x] Testes feitos
- [x] Mensagens validadas
- [x] Notificação funcionando",https://github.com/fga-eps-mds/2019.1-ADA/issues/246
35,2019.1-ADA,"US38 - Eu, como usuário, desejo que a Ada me informe quando um pull request for aberto para que eu tenha conhecimento do andamento do projeto.","## Descrição da Issue
Eu, como usuário, desejo que a Ada me informe quando um pull request for aberto para que eu tenha conhecimento do andamento do projeto.

### Tasks: 
- [x] Elaborar fluxo de conversa
- [x] Tratar json recebido de acordo com o evento disparado.

### Critérios de aceitação

- [x] Testes feitos
- [x] Mensagens validadas
- [x] Notificação funcionando
",https://github.com/fga-eps-mds/2019.1-ADA/issues/245
36,2019.1-ADA,"US37 - Eu, como usuário, desejo que a Ada me informe quando um pull request receber uma solicitação de revisão para que eu tenha conhecimento do andamento do projeto.","## Descrição da Issue
Eu, como usuário, desejo que a Ada me informe quando um pull request receber uma solicitação de revisão para que eu tenha conhecimento do andamento do projeto.
### Tasks: 

- [x] Elaborar fluxo de conversa
- [x] Tratar json recebido de acordo com o evento disparado.

### Critérios de aceitação

- [x] Testes feitos
- [x] Mensagens validadas
- [x] Notificação funcionando
",https://github.com/fga-eps-mds/2019.1-ADA/issues/244
37,2019.1-ADA,"US25 - Eu, como usuário, desejo que a Ada me informe quando um pull request criado por ou atribuído a mim receber uma revisão para que eu possa fazer as alterações necessárias.","## Descrição da Issue
Eu, como usuário, desejo que a Ada me informe quando um pull request criado por ou atribuído a mim receber uma revisão para que eu possa fazer as alterações necessárias.

### Tasks: 

- [x] Elaborar fluxo de conversa
- [x] Tratar json recebido de acordo com o evento disparado.

### Critérios de aceitação

- [x] Testes feitos
- [x] Mensagens validadas
- [x] Notificação funcionando

",https://github.com/fga-eps-mds/2019.1-ADA/issues/243
40,2019.1-ADA,"US20 - Eu, como usuário, desejo que a Ada me informe as issues alocadas para um dos colaboradores que eu informar para auxiliar no gerenciamento de atividades.","
## Descrição da Issue
A Ada irá informar quais issues estão designadas para certo usuário a partir da solicitação do usuário pelo telegram

### Tasks: 
- [x]  Implementar a nova intent relacionada a essa história, bem como as mensagens prontas(utters), a nova action e os dados de treinamento;
- [x]  Implementar a funcionalidade no microserviço do Github e fazer a integração correta entre os microserviços (Ada e Ada-Github), para que, ao fornecer o username desejado do github, o usuário receba quais issues estão designadas ao mesmo.

### Critérios de aceitação
- [x]  Ada entender corretamente e de forma natural que o usuário deseja saber quais issues estão designadas à certo desenvolvedor.
- [x] Retornar corretamente ao usuário as issues de acordo com a entrada de username que ele passar.",https://github.com/fga-eps-mds/2019.1-ADA/issues/235
41,2019.1-ADA,"US34 - Eu, como usuário, desejo que a Ada me informe os colaboradores do projeto para auxiliar no gerenciamento de atividades.","## Nome da Issue
US34 Eu, como usuário, desejo que a Ada me informe os colaboradores do projeto para auxiliar no gerenciamento de atividades.

## Descrição da Issue
Como parte de um time de desenvolvimento de um software, o usuário pode querer saber quem são os outros colegas de trabalho dele, ou seja, ou outros colaboradores do projeto.
Dessa forma, ele pode perguntar isso para a Ada, e ela deve buscar essas informações e retornar ao usuário.

### Tasks: 

- [x] Implementar a nova intent relacionada a essa história, bem como as mensagens prontas(utters), a nova action e os dados de treinamento;
- [x] Criar esse novo serviço da Ada, a partir da ada-github, contruindo uma rota adequada para a funcionalidade e o código para gerar a resposta para a Ada;
- [x] Receber a resposta da ada-github e repassar ao usuário de forma mais natural possível e sabendo das possíveis respostas a serem recebidas ;

### Critérios de aceitação

- [x] Funcionalidade funcionando conforme o esperado pelos desenvolvedores e pelos usuários;
- [x] Fluxo de conversa validado pelo PO;
- [x] Sucesso dessa pipeline no GitLab CI da Ada;
- [x] Sucesso dos testes unitários dessa funcionalidade.",https://github.com/fga-eps-mds/2019.1-ADA/issues/234
42,2019.1-ADA,"US35 - Eu, como usuário, desejo que a Ada cadastre a minha url do deploy do meu projeto.","Nessa issue deve ser feito o cadastro da url (deploy do usuário).

### Tasks: 
Todas as atividades a serem realizadas devem estar elencadas em tópicos e ao serem finalizadas devem receber um check.

- [x] Deve ser adicionado um fluxo de conversa para o usuário.
- [x] Deve ser cadastrado a url do usuário.

### Critérios de aceitação

- [x] O usuário deve ser capaz de cadastrar seu url.
",https://github.com/fga-eps-mds/2019.1-ADA/issues/232
47,2019.1-ADA,"US17 - Eu, como usuário, desejo que a Ada faça um comentário na issue por mim para entrar em contato com os mantenedores do repositório de maneira mais fácil.","## Descrição da Issue
Implementar no Microserviço AdaGithub e no AdaRasa a funcionalidade de comentar uma issue a partir da conversa pelo telegram.

### Tasks: 
- [x] Implementação dos métodos de criação no GitHub
- [x] Implementação do fluxo de conversa no AdaRasa

### Critérios de aceitação
- [x] Ada comenta em issues
",https://github.com/fga-eps-mds/2019.1-ADA/issues/227
53,2019.1-ADA,"US24 - Eu, como usuário, desejo que a Ada configure no pipeline de deploy a última versão estável do repositório para recolocar o serviço no ar.","## Nome da Issue

US24 - Eu, como usuário, desejo que a Ada verifique qual é a última versão estável do meu projeto e faça o deploy dela.

## Descrição da Issue

Quando o projeto do usuário vai para produção, ou seja, para testes e deploy, pode ser que ele falhe. Nesse caso, o usuário pode pedir à Ada para que ela encontre a versão estável mais recente do projeto dele, correspondente à última pipeline que obteve sucesso no GitLab CI, e a reinicie, ou seja, faça uma requisição à API do GitLab CI para rodar essa pipeline de novo. Esse processo corresponde ao deploy da versão estável mais recente do projeto do usuário.

### Tasks: 
- [x] 1. A partir do pedido do usuário, reconhecer que ele quer realizar o deploy da versão mais recente e estável do projeto dele;
- [x] 2. Ada deve fazer uma requisição ao microserviço ada-gitlab para que essa versão(pipeline) seja reiniciada; 
- [x] 3. O microserviço ada-gitlab faz o deploy dessa versão, via API do GitLab CI, e comunica para a Ada se obteve sucesso ou não
- [x] 4. Ada recebe a informação de sucesso ou não do deploy e comunica ao usuário
- [x] 5. Codar os testes unitários
- [x] 6. Testar tudo via telegram

### Critérios de aceitação

- [x] A nova intent deve ser adicionada aos arquivos de domain, stories e intents
- [x] A nova action referente à intent deve estar funcionando
- [x] O microserviço ada-gitlab deve estar atualizado para realizar essa user story 
- [x] Fluxo de conversa validado pelo PO
- [x] Códigos devem passar nos testes unitários e de flake8",https://github.com/fga-eps-mds/2019.1-ADA/issues/213
54,2019.1-ADA,"US28 - Eu, como usuário, desejo receber um relatório informativo de um repositório cadastrado do GitHub","## Descrição da Issue
Ao conversar com a Ada, o usuário pode pedir para que ela gere um relatório com as informações (Branches, releases, pull request's, issues, collaborators) do repositório cadastrado. Então, a Ada deve buscar essas informações dentro do GitHub por meio de requisições e montar um relatório informativo.

### Tasks: 
- [x] Fazer requisições a API do GitHub;
- [x] Montar JSON com as informações necessárias;
- [x] Enviar o relatório do repositório cadastrado para a ADA.

### Critérios de aceitação
- [x] Fluxo de conversa validado com o PO;
- [x] Requisição a API do GitHub feita corretamente;
- [x] Validação em todos os testes unitários.",https://github.com/fga-eps-mds/2019.1-ADA/issues/212
63,2019.1-ADA,"US14 -Eu, como usuário, desejo ser notificado quando a Ada demorar a recuperar informações para saber o status da minha requisição.","### Tasks: 

- [x] Fluxo de conversa validado
- [x] Informar ao usuário sobre a demora de respostas com seu devido status de andamento

### Critérios de aceitação

- [x] De acordo com o tempo máximo estipulado
- [x] Validação",https://github.com/fga-eps-mds/2019.1-ADA/issues/196
64,2019.1-ADA,Melhora no mapeamento de fluxo de conversas,"### Tasks: 
- [x] Aprimorar diagrama de fluxo de conversa.

### Critérios de aceitação
- [x] Subir para o gh-pages;
- [x] Estar de acordo com a paleta de cores.
- [x] Validação.",https://github.com/fga-eps-mds/2019.1-ADA/issues/195
71,2019.1-ADA,"US06 - Eu, como usuário, desejo que a Ada cadastre meu usuário no GitHub","## Descrição da Issue
Ao conversar com a Ada, o usuário pode cadastrar seu usuário no GitHub.

### Tasks: 

- [x] Fazer requisição à API do GitHub
- [x] Criação do GitHub App

### Critérios de aceitação

- [x] Validação em todos os testes
- [x] Cadastro realizado por meio de autenticação
",https://github.com/fga-eps-mds/2019.1-ADA/issues/183
72,2019.1-ADA,"US12 - Eu, como usuário, desejo saber as informações sobre os serviços que a Ada oferece.","## Nome da Issue
- US12 - Eu, como usuário, desejo saber as informações sobre os serviços que a Ada oferece. 

## Descrição da Issue

O usuário pode perguntar para a Ada como ela pode ajudá-lo, ou seja, quais atividades ela faz. Assim, a Ada deve mandar uma mensagem para ele, parecida com uma mensagem de 'help', o informando sobre o que ele pode pedir para ela.

### Tasks: 

- [x] Melhorar a intent 'help' na domain.yml e na general.md
- [x] Testar a conversa, para ver se a Ada está respondendo corretamente
- [x] Melhorar as stories.md , se necessário.

### Critérios de aceitação

- [x] Ada respondendo corretamente
- [x] Revisão pelo PO",https://github.com/fga-eps-mds/2019.1-ADA/issues/182
80,2019.1-ADA,"US16 - Eu, como usuário, desejo que a Ada crie uma issue para mim para reportar algo aos mantenedores do repositório de maneira mais fácil.","## Descrição da Issue
Ao conversar com a Ada, o usuário pode criar issues do repositório cadastrado no GitHub.

### Tasks: 

- [x] Fazer requisição à API do GitHub
- [x] Pegar OAUTH Token GitHub

### Critérios de aceitação

- [x] Validação em todos os testes
- [x] Criação realizada por meio de conversas no Telegram
",https://github.com/fga-eps-mds/2019.1-ADA/issues/156
81,2019.1-ADA,Criar mapeamento de conversa entre usuário e bot,"## Criar mapeamento de conversa entre usuário e bot

## Descrição da Issue
Para cada possível requisição do usuário, criar um diagrama mostrando intenção do usuário e resposta do bot.
### Tasks: 
- [x] Criar diagrama de fluxo de conversa.

### Critérios de aceitação
- [x] Subir para o gh-pages;
- [x] Estar de acordo com a paleta de cores.",https://github.com/fga-eps-mds/2019.1-ADA/issues/155
87,2019.1-ADA,Atualizar protótipo de alta fidelidade,"## Descrição da Issue
Remodelar protótipo de alta fidelidade de acordo com a situação atual da Ada.
### Tasks: 
- [x] Produzir um novo protótipo com fluxo de conversa atual.

### Critérios de aceitação
- [x] Validação do fluxo de conversas.",https://github.com/fga-eps-mds/2019.1-ADA/issues/136
88,2019.1-ADA,"US30 - Eu, como usuário, desejo receber o relatório informativo de um repositório específico do GitLab.","## Descrição da Issue
Ao conversar com a Ada, o usuário pode pedir para que ela gere um relatório com as informações {preencher} do repositório cadastrado. Então, a Ada deve buscar essas informações dentro do GitLab por meio de requisições e montar um pequeno relatório em um arquivo com a extensão a definir.

Nesse arquivo,  um gráfico com as informações {tal} x  {tal} deve ser apresentado.   

### Tasks: 
Todas as atividades a serem realizadas devem estar elencadas em tópicos e ao serem finalizadas devem receber um check.
- [x] fazer requisição à API do GitLab
- [x] montar JSON com os dados do relatório

### Critérios de aceitação
Caso os critérios de aceitação já tenham sido claramente definidos pela equipe, sobretudo pelo Product Owner, acrescentá-los na forma a seguir. Caso contrário, estes devem ser adicionados em um comentário pelo PO.

- [x] utils.py e views.py funcionando
- [x] requisição à API da Ada feita corretamente",https://github.com/fga-eps-mds/2019.1-ADA/issues/135
91,2019.1-ADA,Receber dados do usuário de forma natural,"## Descrição da Issue
Receber o nome de usuário do GitLab e do repositório de forma mais natural

### Tasks: 
- [x] Reconhecer nome de usuário e nome de repositório;
- [x] Adicionar valores nos slots do Rasa;
- [x] Definir o fluxo de conversa.

### Critérios de aceitação

- [x] Fluxo de conversa validado
- [x] Todos testes (flake8 e unitários) passando
- [x] Reconhecer nome de usuário e repositório de maneira natural através de @ ou outro meio",https://github.com/fga-eps-mds/2019.1-ADA/issues/132
101,2019.1-ADA,Refatorar fluxos de conversa,"## Descrição da Issue
Refatorar e evoluir fluxos de conversa da Ada

### Tasks: 
- [x] Arrumar /start da Ada.
- [x] Refatorar fluxos já existentes que precisam
- [x] Construir novos fluxos que tornem a conversa com a Ada mais natural (basear-se nos fluxos existentes do Bot inicial, e.g., usuário estar triste, piada, etc).

### Critérios de aceitação
- [x] /start da Ada em funcionamento
- [x] Pelo menos dois novos fluxos que tornem a conversa com a Ada mais natural, correspondentes à sua personalidade.
- [x] Fluxos validados.
- [x] Teste flake8 passando.
",https://github.com/fga-eps-mds/2019.1-ADA/issues/112
103,2019.1-ADA,"US07 - Eu, como usuário, desejo ser notificado sobre o resultado de builds para saber o estado de integração contínua.","## Descrição da Issue
Eu, como usuário, desejo ser notificado sobre o resultado de builds para saber o estado de integração contínua.

Sempre que uma build termina, o usuário é notificado se a build terminou com sucesso ou falhou.

### Tasks: 
- [x] Criar fluxo de conversa: Ada notifica usuário sobre o resultado da build
- [x] Implementar requisição à API do GitLab para receber o resultado de uma build
- [x] Implementar notificação ao usuário 

### Critérios de aceitação
- [x] Fluxo de conversa validado
- [x] Notificação em funcionamento (notifica sucesso ou falha da build)
- [x] Todos testes (flake8 e unitários) passando
",https://github.com/fga-eps-mds/2019.1-ADA/issues/110
104,2019.1-ADA,"US09 - Eu, como usuário, desejo saber o estágio da build para saber o andamento do processo.","## Descrição da issue
Eu, como usuário, desejo saber o estágio da build para saber o andamento do processo.

Quando há uma build em andamento, o usuário pode perguntar à Ada o estágio (Job, e.g.., testes) que a build está na ferramenta de integração contínua. Caso haja mais de uma, ele informa o estágio de todas em andamento. Caso não haja nenhuma, a Ada informa que não há builds em andamento.

> Os jobs se referem aos passos da build definidos na ferramenta de integração contínua pelo usuário.

### Tasks: 
- [x] Criar fluxo de conversa: usuário pergunta estágio da build x ada responde
- [x] Implementar requisição à API do GitLab
- [x] Implementar notificação ao usuário

### Critérios de aceitação
- [x] Fluxo de conversa validado
- [x] Resposta ao usuário sobre o estágio da build em funcionamento
- [x] Todos testes (flake8 e unitários) passando
",https://github.com/fga-eps-mds/2019.1-ADA/issues/109
116,2019.1-ADA,"US04 - Eu, como usuário, desejo ser cumprimentado pela Ada para iniciar uma conversa.","## Descrição da Issue
Eu, como usuário, desejo ser cumprimentado pela Ada para iniciar uma conversa.

### Tasks: 

- [x] Elaborar roteiro

### Critérios de aceitação

- [x] Interação condizente com a personalidade da ADA
- [x] Estar em Português Brasileiro
",https://github.com/fga-eps-mds/2019.1-ADA/issues/87
130,2019.1-ADA,"DS11 - Eu, como desenvolvedor, quero conectar o Rasa ao Telegram para que a Ada possa conversar com o usuário.","## Descrição da Issue
Fazer conexão do Rasa ao Telegram para que a Ada possa conversar com o usuário.

### Tasks: 
- [x] Estabelecer a conexão do Rasa ao Telegram
",https://github.com/fga-eps-mds/2019.1-ADA/issues/56
131,2019.1-ADA,"DS05 - Eu, como desenvolvedor, desejo criar um protótipo da Ada, para compreender melhor suas interações e interface.","## Descrição da Issue
Criar protótipo de alta fidelidade para representar a interação do usuário com a ADA.

### Tasks: 
- [x] Utilizar ferramenta adequada para criação de protótipos de Bot.
- [x] Aplicar personalidade da ADA nos textos.
- [x] Criar um ou mais fluxos de conversa.",https://github.com/fga-eps-mds/2019.1-ADA/issues/55
160,2019.1-ADA,Criação do template de commits,"Nessa issue deve ser realizada a criação do template de commits. O template deve conter o passo a passo de como deve ser feito um commit.

### Task
- [x] Elaboração do template de commits, desde o conteúdo da mensagem até a conjugação verbal.",https://github.com/fga-eps-mds/2019.1-ADA/issues/6
173,2022-2-Bote,Decidir o flow da conversa com o bot dos alunos,"# Descrição

Os alunos também precisam ter uma conversa interessante e intuitiva para acessar os conteúdos dos cursos

# Necessidades

* Decidir as perguntas possíveis de serem feitas ao bot e as respostas que o bot poderá dar a cada uma
* Decidir se haverá a necessidade de botões em alguns locais e aonde
* Decidir as implementações e interações com o backend",https://github.com/fga-eps-mds/2022-2-Bote/issues/25
174,2022-2-Bote,Decidir flow da conversa com o bot de criação dos cursos,"# Descrição

Para podermos começar o desenvolvimento do bot, precisamos decidir como a conversa com o bot deverá proceder

# Necessidades

* Decidir as perguntas e respostas que o bot dará
* Decidir se haverá botões e quais os textos
* Documentar as implementações",https://github.com/fga-eps-mds/2022-2-Bote/issues/24
184,2022-2-Bote,Implementar as mensagens e botões de interação com o aluno,"# Descrição

De acordo com o que foi discutido em #25 , é preciso que implementemos a base da interação com o aluno, seja em entrar no curso ou acompanhar as aulas

# Tarefas

- [x] Criar a conversa inicial
- [x] Lidar com o usuário entrando novamente no /start
- [x] Permitir a entrada nos cursos
- [x] Lidar com falta do código do curso
- [x] Lidar com senha errada do curso
- [x] Criar um menu principal com acesso aos cursos do indivíduo
- [ ] Mostrar os dados do curso escolhido no menu
- [ ] Mostrar em qual aula ele está e o seu progresso
",https://github.com/fga-eps-mds/2022-2-Bote/issues/14
185,2022-2-Bote,Implementar a adição dos dados do curso por arquivos do excel,"# Descrição

Precisamos de guardar os arquivos mandados pelo professor com os alunos e os links dos videos em uma coleção do firestore

# Tarefas

* Estudar a [documentação](https://firebase.google.com/docs/firestore/quickstart) de como adicionar uma coleção ao firestore em python

* Criar uma forma de o usuário enviar o arquivo pelo telegram e salvar os dados no Firestore

* Lidar com a possibilidade de o arquivo conter apenas os links, os alunos, as mensagens de texto base ou todos juntos

* (*Opcional) Adicionar uma forma de o usuário especificar quando mandar a mensagem de início do curso e definir essa mensagem


# Critérios de aceitação

A ser definido.",https://github.com/fga-eps-mds/2022-2-Bote/issues/13
190,2022-2-Bote,Exemplos de curso via chat: Larissa e Brunna,"# Descrição
>**Frente de estudo:**
>Exemplos de curso via chat: encontrar exemplos de bots que já fazem algo que procuramos desenvolver ou que faz algo parecido e que serviria de base para nosso modelo. Encontrar imagens ou fazer prints de casos de uso que forem encontrados.

Fazer o levantamento de épicos/features para o projeto. Pesquisar sobre cursos que utilizam a plataforma do telegram ou whatsapp para formação de alunos, e ver a estrutura de mensagens utilizada para o andamento do curso.

# Tarefas
- [x] Ter contato com um curso ou experiência relacionada
- [x] Relatar ao grupo a experiência de usuário
- [x] Disponibilizar prints da utilização ou mostrar o andamento do curso por outros meios

# Critérios de aceitação
- Acho que está bem definido nas tarefas, qualquer coisa poderá ser conversado em grupo posteriormente.",https://github.com/fga-eps-mds/2022-2-Bote/issues/8
193,2022-2-Bote,Reunião Carla - Estrutura do bot e casos de uso,"# Descrição
No dia 8 de novembro, fiz uma reunião com a @RochaCarla para saber alguns detalhes do projeto e verificar as funcionalidades necessárias para que os requisitos e funcionalidades do bot solicitado para enviar conteúdos no Telegram esteja de acordo com a linha do tema proposto e pelo problema a ser resolvido. A Carla ficou de disponibilizar os dados referentes a caso de uso que foi citado.

A seguinte jornada de usuário foi levantada: __A pessoa conversa com o bot, e responde qual módulo quer estudar, e em qual parte do módulo quer estar.__ Não faz parte do escopo necessário para completude do projeto, colocar o andamento do aluno numa planilha para controle do professor, o mais importante é que o aluno consiga receber os links e mídias corretos de acordo com o que ele solicitou nas mensagens. As mídias recebidas são adaptadas para que o conteúdo seja consumido na tela do celular, tanto por links, vídeos, arquivos, e outras mídias. 

# Tarefas
- [ ] Disponibilização da @RochaCarla dos dados e mídias referentes ao caso de uso que utiliza o bot.

# Critérios de aceitação
- Dados disponibilizados.
- Mas se não tiver os dados também a gente se vira e segue o baile, porque quem demorou pra criar a issue fui eu.",https://github.com/fga-eps-mds/2022-2-Bote/issues/3
197,2019.1-Aix,Refatorar intents do UVa,"Refatoração das intentes das actions relacionadas ao UVa, visto que a confiabilidade nessas intents está muito baixa.
**Tarefas**

- [ ] Refatorar intents da Action de Feedback do UVa
- [ ] Refatorar intents da Action de Submissão do UVa
- [ ] Refatorar intents da Action de Login do UVa

**Critérios de aceitação**

- [ ] O alcance do bot em relação a assuntos do UVa está melhor",https://github.com/fga-eps-mds/2019.1-Aix/issues/471
200,2019.1-Aix,Refatorar intents,"Alguns usuários não conseguiram chegar ao contéudo de strings e funções. Seria bom analisar as outras intents também.

**Tarefas**

- [x] Refatorar intents.

**Critérios de aceitação**

- [x] O bot deve ser capaz de reconhecer melhor o conteúdo solicitado.
",https://github.com/fga-eps-mds/2019.1-Aix/issues/445
201,2019.1-Aix,Melhorar intents para entrada de dados do usuário,"Alguns usuários relataram não conseguir chegar ao conteúdo de entrada de dados.

**Tarefas**

- [ ] Melhorar intents de entrada de dados.

**Critérios de aceitação**

- [ ] O bot deve ser capaz de entender quando o usuário solicita sobre entrada de dados de usuário.
",https://github.com/fga-eps-mds/2019.1-Aix/issues/444
202,2019.1-Aix,Refatorar intents da utter sobre aix,"No teste de usabilidade nenhum usuário conseguiu chegar na história de quem é a aix.

**Tarefas**

- [x] Adicionar intents de sobre aix.

**Critérios de aceitação**

- [x] O bot deve ser capaz de reconhecer solicitações de explicação sobre quem ela é.
",https://github.com/fga-eps-mds/2019.1-Aix/issues/443
203,2019.1-Aix,Refatorar utters de desafio,"Refatorar utter de desafios para conseguir induzir o usuário melhor nos processos de submissão do exercício

**Tarefas**

- [ ] Refatorar utters de desafio

**Critérios de aceitação**

- [ ] Usuário conseguir submeter o exercicio entendendo todos o passo a passo necessário.
",https://github.com/fga-eps-mds/2019.1-Aix/issues/442
204,2019.1-Aix,Refatorar final das utters para que recomende o próximo conteúdo,"Foi relatado por alguns usuários que algumas utters não estavam informando o próximo conteúdo.

**Tarefas**

- [x] Verificar quais são essas utters que não estão sugerindo o próximo conteúdo e adicionar.

**Critérios de aceitação**

- [x] Todas as utters de conteúdo devem sugerir o próximo conteúdo.
",https://github.com/fga-eps-mds/2019.1-Aix/issues/441
